,id,Name,population,Unnamed: 3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days per 100000 population,ratio
169,LUX,Luxembourg,497538,0,Europe,73816.0,11789.66,507.0,80.98,72.0,822.0,131.29,0.16,0.14836253713284211
170,-99,Western Sahara,491519,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,SUR,Suriname,486618,0,Americas,25118.0,4281.73,628.0,107.05,90.0,640.0,109.1,2.56,0.0516174905161749
172,173,Malta,406771,not listed,Europe,34090.0,6625.03,892.0,173.35,95.0,423.0,82.21,0.58,0.08380636771057917
173,174,Maldives,395650,not listed,South-East Asia,77202.0,14282.28,656.0,121.36,0.0,220.0,40.7,0.37,0.19512700619234172
174,BRN,Brunei,395027,0,Western Pacific,333.0,76.12,22.0,5.03,0.0,3.0,0.69,0.0,0.0008429803532416771
175,BLZ,Belize,314522,0,Americas,14069.0,3538.23,204.0,51.3,86.0,337.0,84.75,1.26,0.04473137014262913
176,BHS,"Bahamas, The",310426,0,Americas,14545.0,3698.72,764.0,194.28,88.0,286.0,72.73,3.05,0.046854967045286154
177,ISL,Iceland,308910,0,Europe,7801.0,2142.34,834.0,229.04,256.0,30.0,8.24,0.0,0.02525331002557379
178,179,French Polynesia,291000,not listed,Western Pacific,19875.0,7075.27,641.0,228.19,239.0,148.0,52.69,1.07,0.06829896907216494
179,180,Barbados,285653,not listed,Americas,4364.0,1518.57,62.0,21.57,5.0,48.0,16.7,0.0,0.015277276975911334
180,181,Mayotte,231139,not listed,Africa,19494.0,7145.5,29.0,10.63,20.0,174.0,63.78,0.0,0.08433886103167358
181,NCL,New Caledonia,229993,0,Western Pacific,133.0,46.59,2.0,0.7,0.0,0.0,0.0,0.0,0.0005782784693447192
182,183,Netherlands Antilles,228693,not listed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,VUT,Vanuatu,221552,0,Western Pacific,3.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.3540839170939554e-05
184,185,Samoa,192001,not listed,Western Pacific,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.2083062067385065e-06
185,186,Sao Tome and Principe,175808,not listed,Africa,2432.0,1109.7,15.0,6.84,0.0,37.0,16.88,0.0,0.01383327266108482
186,187,Saint Lucia,160922,not listed,Americas,5537.0,3015.35,41.0,22.33,0.0,88.0,47.92,0.54,0.034407974049539526
187,188,Tonga,122580,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,189,Virgin Islands,109775,not listed,Americas,4497.0,4306.44,211.0,202.06,47.0,36.0,34.47,2.87,0.04096561147802323
189,190,Grenada,107818,not listed,Americas,168.0,149.3,3.0,2.67,0.0,1.0,0.89,0.0,0.0015581813797325122
190,191,"Micronesia, Federated States of",107154,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,192,Aruba,104589,not listed,Americas,11521.0,10790.89,250.0,234.16,61.0,109.0,102.09,0.0,0.11015498761820076
192,193,Saint Vincent and the Grenadines,104217,not listed,Americas,2288.0,2062.38,22.0,19.83,0.0,12.0,10.82,0.0,0.021954191734553864
193,194,Kiribati,99482,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,195,Jersey,91812,not listed,Europe,8095.0,7509.56,1018.0,944.38,109.0,69.0,64.01,0.0,0.08816930248769224
