,id,Name,population,Unnamed: 3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days per 100000 population,ratio
85,DOM,Dominican Republic,9794487,0,Americas,341179.0,3145.11,2277.0,20.99,365.0,3956.0,36.47,0.23,0.034833779451644585
86,BLR,Belarus,9612632,0,Europe,443864.0,4697.31,6200.0,65.61,1033.0,3435.0,36.35,0.74,0.046175074630964756
87,HTI,Haiti,9203083,0,Americas,20077.0,176.07,201.0,1.76,0.0,545.0,4.78,0.15,0.0021815515518006303
88,SWE,Sweden,9074055,0,Europe,1099414.0,10645.41,3072.0,29.75,663.0,14656.0,141.91,0.01,0.12116016488769354
89,BEN,Benin,9056010,0,Africa,8394.0,69.24,70.0,0.58,0.0,108.0,0.89,0.01,0.0009268982697678116
90,AZE,Azerbaijan,8303512,0,Europe,342548.0,3378.46,3274.0,32.29,615.0,5019.0,49.5,0.2,0.04125338772317063
91,AUT,Austria,8214160,0,Europe,653591.0,7342.84,2815.0,31.63,495.0,10535.0,118.36,0.13,0.07956881774886294
92,HND,Honduras,7989415,0,Americas,292969.0,2957.91,8782.0,88.67,1282.0,7758.0,78.33,2.25,0.03666964352208516
93,CHE,Switzerland,7623438,0,Europe,713679.0,8246.22,3946.0,45.59,9.0,10357.0,119.67,0.09,0.09361642345618866
94,TJK,Tajikistan,7487489,0,Europe,15245.0,159.84,400.0,4.19,0.0,121.0,1.27,0.04,0.0020360630913781644
95,ISR,Israel,7353985,0,Europe,870781.0,10060.39,12130.0,140.14,1013.0,6467.0,74.72,0.16,0.11840940660063898
96,SRB,Serbia,7344847,0,Europe,721267.0,10412.84,1805.0,26.06,292.0,7110.0,102.65,0.22,0.09820041179891154
97,BGR,Bulgaria,7148785,0,Europe,424526.0,6106.99,1086.0,15.62,231.0,18208.0,261.93,0.27,0.059384356922190275
98,HKG,Hong Kong,7089705,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,LAO,Laos,6993767,0,Western Pacific,5675.0,78.0,1556.0,21.39,241.0,6.0,0.08,0.01,0.0008114368122358094
100,LBY,Libya,6461454,0,Eastern Mediterranean,246200.0,3583.02,18767.0,273.12,2730.0,3469.0,50.49,2.14,0.03810287901144232
101,JOR,Jordan,6407085,0,Eastern Mediterranean,768382.0,7530.84,5276.0,51.71,0.0,10000.0,98.01,0.7,0.11992692464669971
102,PRY,Paraguay,6375830,0,Americas,451158.0,6325.35,4012.0,56.25,664.0,14820.0,207.78,5.24,0.07076066959125321
103,TGO,Togo,6199841,0,Africa,15522.0,187.49,721.0,8.71,129.0,150.0,1.81,0.12,0.002503612592645521
104,PNG,Papua New Guinea,6064515,0,Western Pacific,17717.0,198.02,193.0,2.16,31.0,192.0,2.15,0.0,0.0029214207566474813
105,SLV,El Salvador,6052064,0,Americas,86059.0,1326.8,1915.0,29.52,0.0,2599.0,40.07,1.08,0.014219776922385487
106,NIC,Nicaragua,5995928,0,Americas,7592.0,114.6,279.0,4.21,0.0,195.0,2.94,0.02,0.0012661926560825947
107,ERI,Eritrea,5792984,0,Africa,6544.0,184.52,64.0,1.8,5.0,34.0,0.96,0.06,0.0011296423397682439
108,DNK,Denmark,5515575,0,Europe,314983.0,5409.51,5563.0,95.54,848.0,2548.0,43.76,0.1,0.05710791712559434
109,KGZ,Kyrgyzstan,5508626,0,Europe,161973.0,2482.65,6968.0,106.8,958.0,2311.0,35.42,1.29,0.029403520950596392
110,SVK,Slovakia,5470306,0,Europe,392581.0,7192.93,322.0,5.9,44.0,12536.0,229.69,0.04,0.07176582077858168
111,FIN,Finland,5255068,0,Europe,106008.0,1918.6,3966.0,71.78,748.0,978.0,17.7,0.0,0.02017252678747449
112,SLE,Sierra Leone,5245695,0,Africa,6268.0,78.58,62.0,0.78,18.0,120.0,1.5,0.04,0.0011948845672499068
113,ARE,United Arab Emirates,4975593,0,Eastern Mediterranean,677801.0,6853.12,10721.0,108.4,1550.0,1939.0,19.6,0.29,0.13622516954260527
114,TKM,Turkmenistan,4940916,0,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,CAF,Central African Republic,4844927,0,Africa,7151.0,148.06,4.0,0.08,0.0,98.0,2.03,0.0,0.0014759768310234603
116,SGP,Singapore,4701069,not listed,Western Pacific,64722.0,1106.29,931.0,15.91,133.0,37.0,0.63,0.02,0.013767506922361701
117,NOR,Norway,4676305,0,Europe,137127.0,2554.73,1893.0,35.27,405.0,799.0,14.89,0.0,0.029323793037451577
118,BIH,Bosnia and Herzegovina,4621598,0,Europe,205610.0,6267.04,226.0,6.89,44.0,9686.0,295.23,0.4,0.04448894083821224
119,GEO,Georgia,4600825,0,Europe,416338.0,10436.69,18257.0,457.66,2712.0,5793.0,145.22,3.43,0.09049203132046969
120,CRI,Costa Rica,4516220,0,Americas,403511.0,7921.12,7844.0,153.98,1467.0,4997.0,98.09,1.41,0.0893470645805563
121,HRV,Croatia,4486881,0,Europe,363397.0,8954.71,1092.0,26.91,170.0,8254.0,203.39,0.22,0.08099100466448743
122,MDA,Moldova,4317483,0,Europe,259202.0,6425.49,837.0,20.75,184.0,6253.0,155.01,0.42,0.06003544194615242
123,NZL,New Zealand,4252277,0,Western Pacific,2514.0,52.13,15.0,0.31,3.0,26.0,0.54,0.0,0.0005912126608873317
124,IRL,Ireland,4250163,0,Europe,298048.0,6003.66,8909.0,179.46,1361.0,5035.0,101.42,0.18,0.07012625162846696
125,COG,"Congo, Republic of the",4125916,0,Africa,13156.0,238.42,39.0,0.71,0.0,177.0,3.21,0.02,0.003188625265274426
126,LBN,Lebanon,4125247,0,Eastern Mediterranean,558369.0,8180.7,5498.0,80.55,0.0,7897.0,115.7,0.12,0.1353540769801178
127,PRI,Puerto Rico,3977663,0,Americas,144961.0,5067.06,2602.0,90.95,470.0,2577.0,90.08,0.38,0.03644376107277062
128,LBR,Liberia,3685076,0,Africa,5404.0,106.85,0.0,0.0,0.0,148.0,2.93,0.0,0.0014664555086516533
129,ALB,Albania,3659616,0,Europe,132999.0,4621.55,202.0,7.02,47.0,2457.0,85.38,0.03,0.036342337556727264
