,index,Name,ratio
0,4,Brazil,0.24198019801980197
1,4,Brazil,0.04010435363876063
2,1,India,0.03682946357085669
3,1,India,0.10859274854806253
4,3,Indonesia,0.05122513446597797
5,3,Indonesia,0.002
6,18,Iran,0.016409746394828444
7,18,Iran,0.18964793911365352
8,2,United States,0.328538283062645
9,2,United States,0.34529205018082226
